           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.05           5.11           5.15           5.24           5.48           5.93           6.94           8.60          10.71          12.62          14.14          15.06          16.05          17.24          18.72          20.28          21.85          23.54          25.14          26.36          27.64          29.55          32.95          37.22          41.94          48.05          55.82          69.42          90.16         120.12         159.12         204.45         246.61         273.67         282.43         286.36         289.98         300.10         315.93         337.25         357.27         373.09         384.80         399.93         416.88         433.99         451.48         471.54         499.76         532.27         570.65         609.03         644.62         674.43         699.42         724.12         754.11         792.57         848.20         917.82        1009.83        1138.89        1298.74        1488.27        1679.72        1858.06        2001.42        2116.62        2194.33        2247.02        2281.33        2325.04        2386.40        2479.63        2595.05        2732.14        2881.21        3031.21        3171.42        3295.16        3398.57        3495.27        3594.12        3702.48        3813.32        3922.55        4027.52        4130.10        4221.84        4290.39        4340.43        4386.52        4429.95        4484.51        4537.05        4582.12        4615.73        4649.19        4685.23        4726.16        4767.88        4812.86
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.02           5.03           5.04           5.06           5.13           5.33           5.84           6.85           8.33          10.02          11.19          12.18          13.18          14.47          15.94          17.47          19.04          20.55          21.95          23.13          24.40          26.47          29.85          33.78          37.64          40.85          45.00          51.17          63.47          81.85         109.12         144.60         186.25         214.07         235.36         246.43         256.79         267.15         282.25         298.45         316.01         328.74         341.86         357.10         373.61         391.40         410.64         433.22         460.18         491.58         526.67         563.94         600.12         628.77         653.28         677.54         707.29         743.68         789.97         847.76         916.20        1008.55        1129.73        1290.13        1465.77        1651.87        1828.98        1977.93        2092.81        2169.29        2226.19        2286.44        2371.90        2488.17        2629.85        2783.56        2938.58        3086.97        3219.61        3329.62        3426.27        3515.67        3614.18        3721.27        3831.16        3935.86        4033.96        4126.70        4210.27        4279.06        4334.07        4381.26        4436.95        4497.84        4556.43        4600.72        4632.73        4658.53        4687.32        4717.74        4754.79        4793.95
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.01           5.04           5.08           5.22           5.64           6.38           7.21           8.15           9.01          10.15          11.56          13.05          14.75          16.34          17.77          19.08          20.34          21.71          24.01          27.00          30.63          33.61          35.92          37.88          41.08          45.96          54.71          67.55          88.27         113.51         144.79         170.49         197.45         216.62         232.41         245.42         259.81         274.05         288.15         302.72         318.10         334.74         353.07         373.48         396.99         423.75         452.31         482.68         517.92         551.33         580.84         605.84         632.42         663.02         698.64         739.58         785.65         838.74         904.06        1001.85        1123.45        1284.86        1465.61        1662.75        1836.94        1986.90        2085.69        2164.77        2244.94        2354.82        2491.72        2651.50        2815.26        2974.48        3118.53        3244.34        3351.40        3447.06        3541.02        3641.28        3747.14        3847.95        3941.04        4029.69        4109.30        4183.36        4258.90        4325.51        4391.23        4454.95        4523.43        4584.28        4622.48        4648.89        4668.94        4692.77        4720.56        4758.31        4818.11
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.02           5.05           5.20           5.38           5.71           6.08           6.61           7.46           8.59          10.09          11.89          13.59          15.05          16.43          17.71          19.26          21.19          23.97          27.00          29.63          31.41          32.53          34.17          36.83          40.80          46.21          52.90          67.01          84.99         114.14         143.54         170.68         189.80         206.61         221.81         237.45         252.63         268.86         286.39         303.74         321.84         342.24         366.55         391.23         416.59         442.76         470.60         500.86         528.28         555.85         586.64         620.28         657.20         695.68         735.56         778.33         832.56         901.44        1003.71        1136.46        1312.62        1502.47        1704.33        1866.74        1995.61        2093.84        2203.63        2332.60        2490.54        2661.22        2833.43        2992.77        3135.72        3256.62        3362.91        3458.72        3557.24        3660.53        3760.33        3850.92        3937.21        4015.97        4088.61        4171.01        4256.56        4336.93        4403.77        4465.96        4525.39        4576.21        4617.18        4643.37        4667.35        4694.63        4725.64        4761.45        4803.31
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.01           5.04           5.10           5.19           5.30           5.45           5.80           6.44           7.51           8.98          10.57          12.12          13.68          15.05          16.50          18.32          20.62          23.10          25.30          26.92          28.34          29.74          31.68          33.68          36.42          39.76          44.55          56.50          74.97         101.03         123.52         145.09         164.63         184.21         201.74         219.74         240.26         259.56         276.77         293.57         311.89         331.98         354.85         377.98         401.28         426.30         451.38         477.47         505.90         538.66         576.11         617.19         656.50         694.52         730.95         774.31         831.61         911.60        1028.50        1181.42        1370.28        1562.25        1742.06        1889.27        2018.55        2155.53        2313.06        2489.14        2671.45        2847.41        3006.29        3146.06        3262.76        3363.19        3459.36        3558.91        3660.08        3754.48        3841.01        3925.70        4006.20        4087.21        4173.10        4266.64        4345.94        4406.37        4456.97        4508.69        4555.95        4595.04        4629.90        4661.27        4692.75        4725.73        4758.46        4794.88
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.02           5.03           5.06           5.11           5.23           5.50           6.01           6.91           8.00           9.35          10.79          12.19          13.71          15.58          17.53          19.55          21.38          23.21          24.92          26.76          28.60          30.46          32.18          33.71          36.00          40.78          51.72          64.86          81.14          98.81         121.18         143.34         164.85         185.84         207.50         227.86         244.10         258.68         275.82         293.95         311.72         332.23         354.09         377.35         402.09         427.43         455.95         488.47         530.28         573.55         616.13         653.18         689.13         726.85         777.68         841.33         933.64        1064.86        1231.75        1417.99        1610.50        1782.29        1944.61        2111.02        2295.56        2489.29        2680.26        2857.22        3017.57        3150.23        3262.20        3358.12        3454.21        3553.16        3651.22        3741.98        3828.73        3915.54        4000.07        4083.25        4173.80        4259.15        4328.34        4384.87        4439.25        4491.16        4538.70        4580.14        4615.09        4648.46        4681.63        4711.71        4738.59        4763.62
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.01           5.02           5.04           5.13           5.33           5.71           6.31           7.18           8.25           9.54          11.05          12.64          14.33          16.05          17.97          20.09          22.33          24.36          26.11          27.70          29.17          30.91          32.87          35.75          39.65          44.93          51.57          62.46          77.94          99.01         118.96         141.14         163.85         183.56         200.84         219.46         238.90         257.99         275.28         292.07         310.27         330.95         354.20         378.88         405.09         438.63         476.32         524.23         568.66         607.37         644.41         682.79         725.17         777.01         843.28         949.46        1088.72        1276.46        1474.38        1677.79        1869.69        2067.32        2275.40        2482.68        2681.77        2858.13        3012.89        3146.25        3254.98        3353.99        3448.90        3547.69        3647.17        3737.61        3824.62        3907.85        3991.85        4080.47        4163.76        4236.82        4289.88        4339.36        4398.30        4458.88        4510.48        4551.18        4589.62        4626.44        4659.70        4688.35        4712.01        4735.61
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.03           5.06           5.15           5.37           5.74           6.36           7.25           8.33           9.56          10.85          12.47          14.57          17.01          19.41          21.29          22.95          24.19          25.93          28.04          30.20          32.57          35.05          37.48          40.28          43.39          51.67          62.44          76.69          93.71         113.20         133.28         154.52         175.42         197.65         219.04         237.85         255.40         273.12         292.39         313.85         336.70         362.22         387.93         423.85         468.42         513.39         555.25         593.72         632.79         673.40         717.78         771.50         846.80         970.29        1125.02        1333.08        1550.72        1776.90        2005.61        2241.27        2467.12        2669.48        2847.12        2999.76        3133.93        3249.65        3352.91        3453.39        3555.68        3653.71        3744.36        3823.79        3899.13        3980.15        4062.40        4140.25        4192.54        4228.37        4276.36        4340.85        4408.29        4462.53        4509.75        4551.53        4593.37        4630.88        4658.19        4679.25        4697.14
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.02           5.03           5.08           5.14           5.35           5.72           6.26           6.92           7.86           9.24          11.14          13.35          15.52          17.59          18.93          20.43          22.29          24.69          27.04          29.11          31.03          32.53          33.92          35.83          38.52          43.34          49.93          59.76          72.36          89.18         108.29         128.89         150.33         170.87         191.47         211.11         230.77         252.10         273.75         297.28         318.39         338.36         366.24         404.17         450.13         492.23         534.60         575.28         616.17         659.72         708.26         777.52         867.92        1006.39        1184.96        1415.16        1657.63        1927.37        2195.76        2442.32        2653.94        2839.35        2993.90        3130.68        3254.34        3369.60        3475.17        3578.14        3671.23        3751.49        3825.30        3892.38        3960.64        4034.02        4090.44        4130.34        4162.51        4209.05        4278.71        4344.68        4405.10        4455.37        4503.08        4547.71        4585.70        4615.19        4637.34        4659.11
           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.00           5.01           5.02           5.04           5.08           5.17           5.27           5.54           6.01           6.82           8.19           9.94          12.31          14.40          16.21          17.74          19.66          21.86          23.85          25.69          27.28          28.72          30.11          31.46          32.85          35.26          38.33          42.79          49.62          59.35          72.47          86.84         101.79         118.50         135.47         155.69         176.56         197.48         221.07         245.18         266.70         286.59         308.58         343.71         382.32         425.50         468.23         510.85         554.19         600.75         650.78         709.40         785.90         887.32        1044.08        1253.40        1518.37        1817.98        2127.20        2402.68        2639.85        2834.33        2997.32        3134.18        3258.34        3370.40        3479.76        3578.85        3664.42        3738.05        3803.25        3861.73        3917.83        3967.76        4017.03        4058.07        4095.09        4150.73        4212.63        4279.85        4344.54        4400.87        4450.87        4494.95        4533.81        4566.47        4590.37        4611.98
